Title,Score,Directors,Actors,url
真爱谎言,8.3,高林豹,薛凯琪 / 李易峰 / 潘虹 / 李宗翰 / 范舒然,https://movie.douban.com/subject/6905182/
长沙保卫战,8.3,董亚春,张丰毅 / 郑昊 / 徐永革 / 佟瑞欣 / 斯琴高娃,https://movie.douban.com/subject/20388217/
营盘镇警事,8.3,马进,张嘉译 / 丁海峰 / 王海燕 / 王全有 / 郭京飞,https://movie.douban.com/subject/10740289/
全家福,8.3,付宁,吴刚 / 秦海璐 / 岳秀清 / 郝平 / 钱波,https://movie.douban.com/subject/11533287/
老板来了,8.3,黄彦威,魏千翔 / 刘芮麟 / 傅迦 / 李彧 / 陈欣予,https://movie.douban.com/subject/25963286/
夜操场,8.3,林哲乐,标马 / 宁南 / 车孝东 / 兰一添 / 李天恩,https://movie.douban.com/subject/26995751/
天剩我才,8.3,朱宏 / 郑正 / 蔡悦,朱宏 / 郑正 / 蔡悦 / 爱莎,https://movie.douban.com/subject/4840360/
青春不言败,8.3,宋业明,靳东 / 刘立淇 / 盖吉利 / 穆雷克,https://movie.douban.com/subject/19997828/
人民的名义,8.3,李路,陆毅 / 柯蓝 / 张丰毅 / 吴刚 / 许亚军,https://movie.douban.com/subject/26727273/
大军师司马懿之军师联盟,8.2,张永新,吴秀波 / 刘涛 / 李晨 / 于和伟 / 张钧甯,https://movie.douban.com/subject/26605881/
无证之罪,8.2,吕行,秦昊 / 邓家佳 / 姚橹 / 代旭 / 王真儿,https://movie.douban.com/subject/26930540/
鸡毛飞上天,8.2,余丁,殷桃 / 张译 / 陶泽如 / 张佳宁 / 高姝瑶,https://movie.douban.com/subject/26685864/
万万没想到 第一季,8.2,易小星,白客 / 易小星,https://movie.douban.com/subject/24904361/
杀不死,8.2,李洪绸 / 邢冬冬,杨羽 / 邵庄 / 安宁 / 王辰昊 / 邢冬冬,https://movie.douban.com/subject/26772013/
教室的那一间,8.2,贾炳祺,吴瑞淞 / 蒋袁娅蓉 / 王星玮 / 耿强,https://movie.douban.com/subject/30351548/
家，N次方,8.2,王迎,赵宝刚 / 宋丹丹 / 朱雨辰 / 白百何 / 王子文,https://movie.douban.com/subject/5031441/
悬崖,8.2,刘进,张嘉译 / 宋佳 / 程煜 / 李洪涛 / 咏梅,https://movie.douban.com/subject/6965622/
画江湖之不良人,8.2,五百 / 王伟,郑业成 / 李纯 / 范世琦 / 蔡文静 / 季晨,https://movie.douban.com/subject/26743541/
假如没有遇见你,8.2,杨龙,彭豆豆 / 邵伟桐 / 邹思扬 / 曹然然 / 李瀚均,https://movie.douban.com/subject/30200988/
报告老板！ 第一季,8.2,刘循子墨,白客 / 刘浩 / 刘循子墨 / 张本煜 / 柯达,https://movie.douban.com/subject/25789398/
幸福来敲门,8.2,马进,蒋雯丽 / 孙淳 / 曹翠芬 / 杨紫 / 林永健,https://movie.douban.com/subject/5966739/
民兵葛二蛋,8.2,林柯,黄渤 / 高虎 / 童瑶 / 阎娜 / 汤晶媚,https://movie.douban.com/subject/6855115/
我的娜塔莎,8.2,郭靖宇,朱亚文 / 伊莉莎 / 岳跃 / 马恩然 / 白恩,https://movie.douban.com/subject/5351797/
知青,8.2,张新建 / 高力强,傅晶 / 唐曾 / 苏茂洋 / 程皓枫 / 王凯,https://movie.douban.com/subject/7163794/
