排名,电视剧名称,年份,评分,评价人数,导演,编剧,主演,类型,集数,单集片长,豆瓣网址
1378,异能家庭,2016,5.5,1405,刘嘉殷, 张佳 / 咸瑶 / 杜昆阳 / 陆有 / 玄子,张本煜 / 郑合惠子 / 孔连顺 / 倪虹洁 / 刘伟, 喜剧,30,,https://movie.douban.com/subject/26892958/
1379,满秋,2010,5.5,537,黄力加, 卜可,颜丙燕 / 宋春丽 / 牛莉 / 李坤霖 / 乔振宇, 剧情 / 家庭,30,,https://movie.douban.com/subject/6801424/
1380,我的博士老公,2014,5.5,529,唐晓白, 梁振华,沙溢 / 梁静 / 田雨 / 春夏 / 高亚麟, 剧情 / 喜剧,38,40,https://movie.douban.com/subject/25728725/
1381,结婚为什么,2016,5.5,485,苏万聪, 周元姣,姚笛 / 吴卓羲 / 任重 / 李岷城 / 种丹妮, 剧情 / 爱情,42,45,https://movie.douban.com/subject/26653371/
1382,铁核桃,2015,5.5,338,黄文利, 习兮,傅程鹏 / 侯梦莎 / 任柯诺 / 夏侯镔 / 周惠林, 剧情 / 战争,41,40,https://movie.douban.com/subject/25917741/
1383,小五当官,2017,5.5,347,苑立孔, 王小坤,文松 / 宋晓峰 / 杨树林 / 刘小光 / 张小伟, 剧情,42,45,https://movie.douban.com/subject/27158036/
1384,寒山令,2016,5.5,141,谷诗阳,,李健 / 许亚军 / 宋运成 / 李菁菁 / 康磊,,40,40,https://movie.douban.com/subject/26707733/
1385,恋爱相对论,2013,5.5,127,崔亮, 魏约翰 / 伊禾,甘婷婷 / 朴海镇 / 张俪 / 林宇中, 爱情,33,45,https://movie.douban.com/subject/11529575/
1386,秀秀的男人,2014,5.5,129,刘逢声, 杨曼丽,秋瓷炫 / 张博 / 巩峥 / 王文思 / 李依玲,,39,45,https://movie.douban.com/subject/19965225/
1387,南国有佳人,2010,5.5,97,尤小刚, 张巍,焦恩俊 / 陈怡蓉 / 何美钿 / 翁虹, 剧情,30,45,https://movie.douban.com/subject/5985885/
1388,瑶山大剿匪,2011,5.5,72,张国庆, 赵舒亚 / 张子明,丁海峰 / 温峥嵘 / 尚于博 / 刘硕 / 王嘉, 剧情 / 战争,34,50,https://movie.douban.com/subject/6738798/
1389,边城,2014,5.4,74,崔卫东, 邱_,蒋欣 / 谭凯 / 程煜 / 徐永革 / 王小虎, 剧情 / 战争,30,40,https://movie.douban.com/subject/19965229/
1390,还是夫妻,2016,5.5,760,张晓光, 高蓉蓉,郭涛 / 马苏 / 韩青 / 苏岩 / 周晓鸥, 爱情 / 家庭,36,,https://movie.douban.com/subject/20503544/
1391,神兽麻将馆,2017,5.5,654,石桀_, 王昆鹏 / 邢嘉仪 / 周子君（王鹤鸣编剧工作室）,李晨浩 / 白柳汐 / 苑乔 / 陶灏景 / 陈帅, 喜剧 / 爱情 / 奇幻,16,25,https://movie.douban.com/subject/26835004/
1392,敢死队,2010,5.5,349,于立清,,韩童生,,32,,https://movie.douban.com/subject/5337540/
1393,笑红颜,2012,5.5,365,何澍培, 林和平,胡静 / 陈楚河 / 陆翊 / 戴春荣 / 翁虹, 剧情 / 家庭 / 古装,33,45,https://movie.douban.com/subject/10604164/
1394,孩奴,2013,5.5,334,谢鸣晓, 王海威,沙溢 / 胡可 / 王一楠 / 冯嘉怡 / 高蓓蓓, 剧情 / 家庭,40,,https://movie.douban.com/subject/19962585/
1395,嫁入豪门,2012,5.5,305,徐惠康, 杨曼丽,佘诗曼 / 江祖平 / 钱泳辰 / 俞小凡 / 陆昱霖, 爱情,40,,https://movie.douban.com/subject/11636383/
1396,日本_丝,2014,5.5,276,山下智博, 山下智博,山下智博, 喜剧 / 短片,10,6,https://movie.douban.com/subject/25928781/
1397,爱情珠宝,2015,5.5,256,宋洋, 杜剑,娄艺潇 / 毛林林 / 纳瓦·君拉纳拉 / 罗嘉良 / 王琳, 剧情,30,45,https://movie.douban.com/subject/25878891/
1398,婚巢,2012,5.5,232,林黎胜, 陈彦 / 陈舒,王丽坤 / 李乃文 / 黄宥明 / 袁中方 / 王柠, 剧情 / 爱情,34,,https://movie.douban.com/subject/10467782/
1399,复婚,2010,5.5,195,董志强, 朱睿,陈小艺 / 许亚军 / 胡可 / 王千源,,30,,https://movie.douban.com/subject/4802763/
1400,爱的秘笈,2014,5.5,193,陆江, 申捷,李念 / 郑恺 / 冯丹滢 / 谭凯 / 王琳, 剧情 / 爱情,30,,https://movie.douban.com/subject/20388257/
1401,而立之年,2013,5.5,172,罗长安, 孙冰 / 于正嵘,梅婷 / 夏雨 / 王策 / 张萌 / 范明, 剧情 / 爱情 / 家庭,35,,https://movie.douban.com/subject/10514812/
