排名,电视剧名称,年份,评分,评价人数,导演,编剧,主演,类型,集数,单集片长,豆瓣网址
1262,真爱遇到他,2014,5.7,586,柯翰辰, 陈欣怡,安以轩 / 贺军翔 / 弦子 / 信 / 付辛博, 剧情 / 喜剧 / 爱情,30,,https://movie.douban.com/subject/25918003/
1263,玉观音,2011,5.7,481,田有良, 海岩,饶敏莉 / 高云翔 / 安志杰 / 莫小棋 / 李强, 剧情 / 爱情,28,40,https://movie.douban.com/subject/5401736/
1264,唱战记,2014,5.7,366,王梓, 王幼飞 / 李晓鸥 / 陈泰龙 / 吴海求,秦岚 / 欧豪 / 付梦妮 / 王耀庆 / 黄义达, 剧情 / 爱情,26,30,https://movie.douban.com/subject/25812390/
1265,不是钱的事,2012,5.7,202,傅百良, 赵东东 / 邓洪洋 / 吕仲男 / 李海兵,赵本山 / 小沈阳 / 于月仙 / 唐鉴军 / 王小利,,30,,https://movie.douban.com/subject/10545942/
1266,上海谜案1937,2010,5.7,170,柳国庆, 柳国庆,保剑锋 / 王丽坤 / 郑晓宁 / 姚刚 / 孙艺洲, 剧情 / 悬疑,30,,https://movie.douban.com/subject/4925441/
1267,代号九耳犬,2012,5.7,90,邓衍成, 陈翘英 / 钟健强,陈冠霖 / 万美汐 / 梁俊一 / 毛晓彤 / 张译木, 剧情,35,,https://movie.douban.com/subject/10793514/
1268,我的灿烂人生,2011,5.7,1005,陈铭章, 何曜先,言承旭 / 陈彦妃,,36,,https://movie.douban.com/subject/6518726/
1269,幸福三颗星,2011,5.7,877,林子平, 罗法平,杨谨华 / 蓝正龙 / 吴建飞,,20,55,https://movie.douban.com/subject/6527300/
1270,我的宝贝,2015,5.7,752,徐纪周, 陆江 / 裴文 / 贺菁,姚笛 / 佟大为 / 刘天佐 / 徐梵溪 / 李依玲, 剧情 / 爱情,32,45,https://movie.douban.com/subject/25713406/
1271,致单身男女,2016,5.8,261,蔡晶盛, 许岚枫 / 杜鑫 / 张方盈 / 彭美凤 / 高语含,陆毅 / 张俪 / 耿乐 / 李曼 / 刘俊孝, 剧情 / 爱情,38,,https://movie.douban.com/subject/26304928/
1272,扇娘,2011,5.6,205,锐兵,,吴奇隆 / 姚芊羽 / 迟帅 / 郭珍霓 / 王珂,,35,,https://movie.douban.com/subject/5345431/
1273,太行山上,2015,5.7,200,李伟, 王朝柱 / 张森林,唐国强 / 张再新 / 杨俊勇 / 刘劲 / 王伍福, 战争,30,,https://movie.douban.com/subject/25722108/
1274,刀尖上行走,2010,5.7,173,高希希, 麦家,梅婷 / 王志飞 / 焦恩俊 / 高明 / 霍青, 剧情,27,,https://movie.douban.com/subject/4922823/
1275,苏染染追夫记,2016,5.7,200,戴维, 尤甜,尹淇 / 金浩 / 孙玮伦 / 于果, 剧情 / 爱情 / 古装,50,24,https://movie.douban.com/subject/26705395/
1276,财神有道,2011,5.7,160,蔡晶盛, 余一凯 / 郑红,钟欣桐 / 陈键锋 / 樊少皇 / 李国麟 / 何琢言, 古装,36,,https://movie.douban.com/subject/5912983/
1277,决杀,2015,5.7,152,余丁, 张晓亚,翟天临 / 王志飞 / 刘欢 / 程媛媛 / 徐梵溪, 剧情 / 战争,40,40,https://movie.douban.com/subject/25880248/
1278,寒冬,2015,5.7,162,吴锦源, 林和平,吴奇隆 / 罗海琼 / 姚刚 / 蔡妍 / 景岗山, 剧情,30,,https://movie.douban.com/subject/21348954/
1279,战火西北狼,2012,5.7,149,蔡抒南, 吴远博,谷智鑫 / 刘恺威 / 朱虹 / 芦菲 / 刘滢, 剧情 / 战争,31,,https://movie.douban.com/subject/6827725/
1280,情感战争,2011,5.7,129,扈耀之, 李青,张国强 / 张子枫 / 姜宏波 / 李_ / 翁家明, 剧情 / 家庭,30,,https://movie.douban.com/subject/6738630/
1281,密战峨眉,2012,5.7,134,李惠民, 张元森,高洋 / 孙淳 / 富大龙 / 侯角 / 戴春荣, 悬疑,35,,https://movie.douban.com/subject/10738638/
1282,断喉弩,2010,5.7,116,孙小光, 刘邦潮 / 杨月军,陈蓉 / 赵子惠 / 高云翔 / 徐黄丽 / 庞潇, 剧情 / 战争,28,,https://movie.douban.com/subject/6037994/
1283,伙伴夫妻,2015,5.7,111,赵晨阳, 赵晨阳,姜武 / 颜丙燕 / 马丽 / 张秋歌 / 刘莉莉, 剧情 / 家庭,31,,https://movie.douban.com/subject/25798180/
1284,再见，老婆大人,2016,5.7,93,王晓明, 刘璐,霍思燕 / 杜江 / 王志飞 / 于越 / 许绍雄, 剧情 / 爱情,38,45,https://movie.douban.com/subject/26041784/
1285,傻儿传奇,2014,5.7,99,刘流, 雷鸣鑫 / 杨杨 / 蔡谨 / 许静,刘流 / 刘芸 / 蔡琳 / 沈伐 / 吴文, 剧情 / 喜剧,45,,https://movie.douban.com/subject/25850128/
1288,我的老师是传奇,2015,5.7,77,刘曦,,雷牧 / 裘恩典, 剧情,,20,https://movie.douban.com/subject/26303365/
1289,郎心如铁,2010,5.7,58,张旗, 梁天,张铎 / 凌潇肃 / 唐一菲 / 白雪云 / 王紫逸, 爱情 / 悬疑,32,45,https://movie.douban.com/subject/5958604/
1290,母亲心,2010,5.7,55,王子鸣, 黄振丽,赵丽娟 / 张嘉倪 / 李依晓 / 曾黎 / 郝平, 剧情 / 家庭,26,,https://movie.douban.com/subject/5343609/
1291,菊子,2011,5.7,53,黄力加, 林和平,王雅捷 / 侯天来 / 韩青 / 奇道 / 赵玲琪, 剧情 / 战争,34,,https://movie.douban.com/subject/6383560/
1292,马迭尔旅馆的枪声,2010,5.7,49,姜峰, 赵光远,张恒 / 邵兵 / 赵立新, 战争,25,,https://movie.douban.com/subject/6817888/
1293,走出硝烟的女人,2012,5.7,50,赵浚凯,,赵子惠 / 颜丙燕 / 于震 / 王茜 / 付磊,,24,,https://movie.douban.com/subject/10531205/
1294,南北大状,2010,5.7,47,邓衍成, 钟继昌,李保田 / 陈小春 / 尹天照, 剧情 / 古装,35,,https://movie.douban.com/subject/4781098/
1295,都是兄弟,2012,5.7,50,刘季欢, 邱向东,吴京安 / 韩青 / 顾艳 / 普超英 / 陈祉希, 剧情 / 家庭,33,,https://movie.douban.com/subject/19945738/
1296,川西剿匪记,2012,5.7,41,白涛, 孙浩,张桐 / 苏岩 / 王大治 / 姚安濂 / 王晓晨, 剧情 / 爱情 / 战争,43,40,https://movie.douban.com/subject/10744837/
1297,身边的幸福,2012,5.8,35,何澍培, 赵瑞泰,刘蓓 / 严屹宽 / 郑晓宁 / 刘梓妍, 剧情 / 家庭,28,45,https://movie.douban.com/subject/11504596/
1298,宫,2011,5.6,36098,李慧珠, 于正,杨幂 / 冯绍峰 / 佟丽娅 / 何晟铭 / 郭羡妮, 剧情 / 爱情 / 历史 / 奇幻 / 古装,35,46,https://movie.douban.com/subject/4917905/
1299,轩辕剑之天之痕,2012,5.6,20217,李国立, 邓力奇 / 黄浩然 / 梁礼_ / 陈十三,胡歌 / 蒋劲夫 / 刘诗诗 / 唐嫣 / 古力娜扎, 动作 / 爱情 / 奇幻 / 古装,36,45,https://movie.douban.com/subject/5989840/
1300,倾世皇妃,2011,5.6,13503,梁辛全 / 林峰, 张英俊 / 邵思涵,林心如 / 王琳 / 邬倩倩 / 惠英红 / 严屹宽, 剧情 / 爱情 / 古装,44,42,https://movie.douban.com/subject/5384549/
1301,法医秦明2清道夫,2018,5.6,7654,李爽 / 陈嘉鸿, 郭琳媛 / 何凌 / 周铨 / 李尧 / 张曼璐 / 王英曜 / 练青,刘冬沁 / 刘畅 / 于莎莎 / 杨凯淳 / 王辉, 剧情 / 悬疑 / 犯罪,20,40,https://movie.douban.com/subject/26913955/
1302,盛夏晚晴天,2013,5.6,5605,麦贯之, 陈宝华,刘恺威 / 杨幂 / 吴建飞 / 樊少皇, 剧情 / 爱情 / 家庭,46,40,https://movie.douban.com/subject/10563794/
1303,X女特工,2013,5.6,7499,于敏, 张译兮,唐嫣 / 罗晋 / 吕一 / 张_临 / 孔维, 剧情 / 动作 / 爱情 / 悬疑 / 犯罪 / 冒险,42,40,https://movie.douban.com/subject/11625607/
1304,卫子夫,2014,5.6,6591,刘家豪, 梅小青,王珞丹 / 林_ / 周丽淇 / 徐正溪 / 俞小凡, 剧情 / 古装,47,40,https://movie.douban.com/subject/24736294/
1305,儿科医生,2017,5.6,1243,周德华,,罗云熙 / 孙铱 / 曾黎 / 凌潇肃 / 刘佳, 剧情,42,45,https://movie.douban.com/subject/26926323/
1306,唐宫美人天下,2011,5.6,5175,李慧珠 / 姜广涛, 于正,张庭 / 李小璐 / 明道 / 杨幂 / 张晨光, 悬疑 / 古装,35,46,https://movie.douban.com/subject/5323223/
1307,童话二分之一,2012,5.6,1894,张哲书, 胡晓鹿 / 林纯华,张钧甯 / 朱梓骁 / 武艺 / 刘美含, 剧情 / 爱情 / 家庭,33,45,https://movie.douban.com/subject/6796176/
1308,秘果,2017,5.6,2170,连奕琦, 饶雪漫,陈哲远 / 李兰迪 / 余芷慧 / 刘剑羽 / 梁宝羚, 剧情 / 爱情,24,40,https://movie.douban.com/subject/26658517/
1309,医馆笑传,2015,5.6,3384,王子鸣, 朱凌锋 / 黄青蕉,陈赫 / 王传君 / 姜妍 / 张子萱 / 赵圆瑗, 剧情 / 古装,37,45,https://movie.douban.com/subject/25885443/
1310,铠甲勇士拿瓦,2012,5.6,286,郑国伟 / 柴原孝典, 李洪山,许峰 / 刘芮麟 / 曾祥程 / 朱嘉琦 / 曹曦月, 科幻,52,26,https://movie.douban.com/subject/25777633/
1311,恋恋不忘,2014,5.6,2767,曾丽珍, 蓝白色 / 吕新 / 隆龙 / 林琳 / 张璐,言承旭 / 佟丽娅 / 黄柏钧 / 冯婧 / 吕行, 剧情 / 爱情,34,45,https://movie.douban.com/subject/23066425/
1312,我是杜拉拉,2016,5.6,1829,刘俊杰, 洪靖惠 / 李可(原著),王耀庆 / 戚薇 / 朱泳腾 / 袁冰妍 / 冉旭, 剧情 / 爱情,40,,https://movie.douban.com/subject/26351026/
1313,超星星学园,2016,5.6,1779,黄元达, 霍贝贝,肖战 / 王玉雯 / 白澍 / 彭楚粤 / 伍嘉成, 剧情 / 爱情 / 奇幻,32,22,https://movie.douban.com/subject/26765418/
1314,乐俊凯,2013,5.6,1029,李骏,,张钧甯 / 何润东, 爱情,9,16,https://movie.douban.com/subject/25695879/
1315,画皮2,2013,5.6,978,梁汉辉, 冉平 / 冉甲男,刘恺威 / 颖儿 / 白冰 / 乔振宇 / 徐正溪, 剧情,42,40,https://movie.douban.com/subject/19899694/
1316,八九不离十,2015,5.6,172,刘二威, 王巍,李光洁 / 朱丹 / 岳红 / 谢园 / 严晓频, 剧情 / 爱情,40,45,https://movie.douban.com/subject/26592991/
1317,问题餐厅,2017,5.6,2732,黄常祚, 崔洁 / 坂元裕二,焦俊艳 / 李凯馨 / 叶子诚 / 吕夏 / 宫哲, 剧情 / 爱情,20,45,https://movie.douban.com/subject/26708488/
1318,警花与警犬,2016,5.6,2088,谷锦云, 李刚 / 蔡郁苇,于和伟 / 侯梦莎 / 黄梦莹 / 夏凡 / 刘金龙, 剧情 / 犯罪,44,,https://movie.douban.com/subject/26614137/
1319,倾城绝恋,2012,5.6,1591,沈怡 / 何东兴 / 周国栋, 许文玲 / 陈世龙,李晟 / 何晟铭 / 潘迎紫 / 王希维 / 田家达, 爱情,49,40,https://movie.douban.com/subject/7163803/
1320,经营婚姻,2012,5.6,1179,陈燕民, 夏天,朱雨辰 / 李念 / 张铁林 / 李诚儒 / 孙桂田, 家庭,30,40,https://movie.douban.com/subject/5392253/
1321,白蛇后传,2010,5.6,734,刘一志, 梁馨月 / 盛艳,邱心志 / 傅淼 / 郭达 / 由立平 / 刘诗诗, 爱情 / 古装,30,45,https://movie.douban.com/subject/4271555/
1322,爱情碟中谍,2015,5.6,362,余淳, 蓝小汐,姚笛 / 雷佳音 / 范明 / 宋丹丹 / 王一楠, 剧情 / 爱情,34,45,https://movie.douban.com/subject/25777372/
1323,中国刑警803,2014,5.6,346,张族权 / 黄丹 / 吉桥 / 项海明, 张族权,张正阳 / 董维嘉 / 陆玲 / 潘彦妃 / 王政钧, 剧情 / 悬疑 / 犯罪,50,40,https://movie.douban.com/subject/25823837/
1324,生死兄弟情,2015,5.8,53,萧锋, 黄剑东,郭晓东 / 车永莉 / 王斑, 剧情,42,45,https://movie.douban.com/subject/26419211/
1325,我的儿子是奇葩,2014,5.6,1556,汪俊, 张琦 / 黄苇,宋丹丹 / 佟大为 / 关悦 / 郭家铭 / 刘一含, 家庭,36,45,https://movie.douban.com/subject/21296249/
1326,唐宫燕,2013,5.6,471,张孝正, 陈十三,刘庭羽 / 刘心悠 / 杨恭如 / 李承炫 / 陈威翰, 剧情 / 爱情 / 历史 / 古装,30,70,https://movie.douban.com/subject/6878472/
1327,爱情万万岁,2016,5.6,352,刘新, 翘楚,刘涛 / 张凯丽 / 韩童生 / 黄觉 / 叶祖新, 喜剧 / 家庭,38,,https://movie.douban.com/subject/26415257/
1328,地火,2012,5.6,256,陈建, 黄斌,朱亚文 / 苗圃 / 杜志国 / 吕一, 剧情 / 战争,38,40,https://movie.douban.com/subject/19961191/
1329,且行且珍惜,2015,5.6,241,谢律, 瑛子 / 陈彦,高露 / 翟天临 / 朱刚日尧 / 贺镪 / 王妍之, 剧情 / 爱情,38,45,https://movie.douban.com/subject/26289500/
1331,流泪的新娘,2010,5.7,115,罗灿然, 王宗仁,丁子峻 / 郭珍霓 / 叶静 / 王宇婕 / 陈莎莉, 剧情 / 爱情 / 家庭,32,,https://movie.douban.com/subject/6124060/
1332,大道通天,2015,5.6,81,李大为 / 王子涵, 张晓亚,李光洁 / 殷桃 / 吴秀波 / 郑玉 / 周海媚, 剧情 / 爱情 / 传记,28, 44分_,https://movie.douban.com/subject/6894266/
1333,慎点 第三季,2016,5.6,1410,希龙, 田继宗,杜冯欣怡 / 孙宝珠 / 陈梦瑶 / 张景琪 / 刘妙, 悬疑 / 惊悚 / 恐怖 / 短片,20,3,https://movie.douban.com/subject/26862255/
1334,钱多多嫁人记,2011,5.6,530,郭淼晶, 人海中,刘涛 / 陈楚河 / 张馨予 / 孙艺洲 / 董妮娜, 爱情,22,14,https://movie.douban.com/subject/5975317/
1335,枪花,2013,5.6,523,刘国豪, 朱睿,王丽坤 / 刘丛丹 / 程皓枫 / 黄俊鹏 / 徐少强, 剧情 / 动作,32,,https://movie.douban.com/subject/19965222/
1336,少林寺传奇2,2011,5.6,432,都晓, 刘骐,元彪 / 林志颖 / 孙颖歆 / 谢苗 / 梁家仁, 剧情,50,45,https://movie.douban.com/subject/3538071/
1337,与狼共舞2,2014,5.6,378,黄文利, 周萌 / 王莹菲,傅程鹏 / 程愫 / 侯梦莎, 剧情,37,,https://movie.douban.com/subject/25806974/
1338,青春旋律,2011,5.6,263,桑华,,金希澈 / 古巨基 / 蒋梦婕 / 杨洋,,20,45,https://movie.douban.com/subject/4934989/
1339,第22条婚规2,2016,5.6,210,金凌辉, 周涌,黄圣依 / 宋小宝, 喜剧 / 爱情 / 家庭,61,45,https://movie.douban.com/subject/26363133/
1340,生死相依,2013,5.6,207,周家文,,李宗翰 / 赵越 / 侯璎珏, 剧情,40,,https://movie.douban.com/subject/20391200/
1341,无名者,2016,5.6,215,王俊博, 朱金晨,丁志城 / 原雨 / 吴刚 / 岳秀清 / 王挺, 剧情 / 悬疑,40,45,https://movie.douban.com/subject/25978359/
1342,冷宫传,2014,5.6,184,黄松, 杜昆阳 / 张潘,徐晓璐 / 来源 / 杨悦心 / 徐荷媛 / 盛卓新, 喜剧 / 古装,24,25,https://movie.douban.com/subject/26220740/
1343,淑女涩男,2015,5.6,176,何念, 蔡悦 / 郑正 / 王颖杰,李梓溪 / 蔡蝶 / 张昊唯, 剧情 / 喜剧,30,,https://movie.douban.com/subject/26345704/
1344,保姆与保安,2010,5.6,120,柳国庆, 赵化南,杜淳 / 姚芊羽 / 奚美娟, 剧情 / 家庭,33,,https://movie.douban.com/subject/4249353/
1345,孩子回国了,2014,5.6,143,姜凯阳, 赵梦 / 郭博雅,万茜 / 曹云金 / 刘芙伶 / 伍宇娟 / 哈斯高娃, 剧情 / 爱情,37,,https://movie.douban.com/subject/25785967/
1346,好男儿之情感护理,2014,5.6,142,杜军, 马广源,张译 / 高露 / 李晨 / 战菁一, 剧情 / 爱情,32,40,https://movie.douban.com/subject/25698577/
1347,强者风范,2012,5.6,99,张国庆, 石小克,陈宝国 / 吴刚 / 常铖 / 岳秀清 / 陈月末, 战争,34,,https://movie.douban.com/subject/10521683/
1348,七妹,2010,5.7,83,习辛, 羽笛 / 李书圣,练束梅 / 闾汉彪 / 杜源 / 傅艺伟 / 张铎, 剧情,32,45,https://movie.douban.com/subject/5366680/
1349,虎穴锄奸,2010,5.6,80,赖成,,刘劲 / 于震 / 徐僧 / 李玉峰 / 徐箭,,30,,https://movie.douban.com/subject/4922821/
1350,油菜花香,2014,5.6,81,李京, 廖欣,颜丹晨 / 柏青 / 印小天 / 王丽云 / 沈丹萍, 剧情,30,,https://movie.douban.com/subject/20514933/
1351,一世牵挂,2010,5.6,61,李彬, 李彬 / 黎明 / 乔万民,吴刚 / 丁柳元 / 李菁菁 / 翟小兴, 剧情 / 家庭 / 历史,40,40,https://movie.douban.com/subject/5948625/
1352,终极教师,2015,5.6,63,宋隆龙, 隋宇露 / 赵雪薇,涂黎曼 / 王艺凝 / 李文骁 / 刘羽琦 / 张驰, 剧情 / 喜剧,60,15,https://movie.douban.com/subject/26304193/
1353,小小飞虎队,2011,5.9,43,钱晓鸿, 赵冬苓 / 张云霄 / 王谦,赵泽文 / 小叮咚 / 胡天阳 / 张政勇 / 田宇鹏, 儿童 / 战争,28,,https://movie.douban.com/subject/6799165/
1354,饿了别叫妈之走火入模,2015,5.6,33,刘宏基, 王祖蓝,王祖蓝,,12,5,https://movie.douban.com/subject/26670432/
1355,猎场,2017,5.5,88272,姜伟, 姜伟,胡歌 / 菅纫姿 / 陈龙 / 孙红雷 / 张嘉译, 剧情,52,45,https://movie.douban.com/subject/26322642/
1356,回家的诱惑,2011,5.5,9628,林添一, 简远信 / 陈晓冰,秋瓷炫 / 李彩桦 / 凌潇肃 / 郑逸桐 / 夏台凤, 剧情 / 爱情 / 家庭,68,41,https://movie.douban.com/subject/4914642/
1357,柒个我,2017,5.5,22379,邓科, 马赛克,张一山 / 蔡文静 / 张晓谦 / 高泰宇 / 范梦, 剧情,34,45,https://movie.douban.com/subject/26584874/
1358,浪花一朵朵,2017,5.5,6759,常晓阳, 寿司 / 欣慧,谭松韵 / 熊梓淇 / 黄圣池 / 庞瀚辰 / 彭昱畅, 剧情 / 爱情,36,45,https://movie.douban.com/subject/26754618/
1359,妻子的秘密,2014,5.5,2611,张哲书,,刘恺威 / 赵丽颖 / 丁子峻 / 关智斌 / 王智, 剧情 / 爱情 / 家庭,54,,https://movie.douban.com/subject/25762274/
1360,大秧歌,2015,5.5,3921,郭靖宇, 郭靖宇,杨志刚 / 杨紫 / 岳丽娜 / 王奎荣 / 王绘春, 剧情,70,40,https://movie.douban.com/subject/25937995/
1361,大王不容易,2017,5.5,2879,任海曜 / 刘镇明, 张静,张逸杰 / 白鹿 / 赵弈钦 / 汤梦佳 / 董慧, 喜剧 / 爱情 / 古装,20,30,https://movie.douban.com/subject/27079358/
1362,长在面包树上的女人,2015,5.5,3447,陈铭章, 徐誉庭 / 张小娴,唐嫣 / 黄宗泽 / 隋棠 / 王宥胜 / 刘冬, 剧情 / 爱情,38,45,https://movie.douban.com/subject/10728455/
1363,龙门镖局之为2归来,2015,5.5,1963,王勇, 宁财神 / 程娇娥,郭京飞 / 袁咏仪 / 张智霖 / 傅家缘 / 刘冠麟, 喜剧 / 古装,10, 10-15,https://movie.douban.com/subject/25694222/
1364,妈祖,2012,5.5,1623,路奇, 曾有情,刘涛 / 刘德凯 / 林心如 / 刘佳 / 魏宗万, 剧情 / 奇幻 / 古装,38,40,https://movie.douban.com/subject/6872270/
1365,麻辣女兵,2012,5.5,1757,谷锦云, 田良良 / 周海丹,侯勇 / 李晨 / 杨烁 / 马丽 / 尹铸胜, 剧情 / 战争,30,40,https://movie.douban.com/subject/10455645/
1366,相爱穿梭千年2：月光下的交换,2016,5.6,1354,金炳洙, 王霖,魏大勋 / 文咏珊 / 郭雪芙 / 张晓晨 / 郑凯, 爱情,28,45,https://movie.douban.com/subject/26615597/
1367,爱的蜜方,2012,5.5,2486,林合隆,,李多海 / 郑元畅 / 李易峰 / 方安娜, 剧情 / 爱情,35,40,https://movie.douban.com/subject/10465126/
1368,绝地枪王,2014,5.5,328,张多福,,周扬 / 张鲁一 / 孙松 / 王建国, 战争,37,45,https://movie.douban.com/subject/25825337/
1369,解忧公主,2016,5.5,1824,路阳, 徐伊亮,张歆艺 / 袁弘 / 袁文康 / 叶青 / 姜晓冲, 剧情 / 古装,45,45,https://movie.douban.com/subject/25904361/
1370,飞哥大英雄,2013,5.5,405,刘敏,,雷佳音 / 李梦男 / 马敬涵, 剧情 / 历史 / 战争,38,45,https://movie.douban.com/subject/25798394/
1371,剑侠情缘之藏剑山庄,2011,5.5,1204,冯柏源 / 吴亚桥,,谢霆锋 / 蔡卓妍 / 关智斌 / 郑希怡, 剧情 / 爱情 / 古装,33,45,https://movie.douban.com/subject/4914646/
1372,偏偏爱上你,2012,5.5,612,唐季礼 / 蒋家骏,,韩雪 / 丁子峻 / 于小伟 / 高曙光 / 章龄之, 剧情 / 爱情,25,,https://movie.douban.com/subject/5345429/
1373,婚姻时差,2015,5.6,468,李木戈, 苏晓苑,王志飞 / 江珊 / 宋宁 / 佟悦 / 杨皓宇, 剧情 / 家庭,38,,https://movie.douban.com/subject/25728503/
1374,冒牌英雄,2014,5.5,168,祝君, 祝君,杨烁 / 周牧茵 / 高蓓蓓 / 袁乙心 / 夏凡, 剧情,40,,https://movie.douban.com/subject/24718641/
1375,绝命卦师,2016,5.5,116,樊春喜 Xichun Fan / 刘永炼 Yonglian Liu, 孟笑光 / 万小刚 / 胡考勤 / 潘汐 / 齐小土 / 董卓尔,张晓晨 / 张浩然 / 卢蒽洁 / 刘娜萍, 剧情 / 悬疑 / 古装,40,25,https://movie.douban.com/subject/26748051/
1376,小情人,2017,5.5,2486,刘新, 王伊,胡军 / 金晨 / 宋轶 / 胡静 / 郑佩佩, 剧情 / 爱情 / 家庭,40,45,https://movie.douban.com/subject/26597756/
1377,第22条婚规,2013,5.5,1497,金琛, 周涌 / 温蓉,黄圣依 / 宋小宝 / 郑罗茜 / 程野 / 杨子, 爱情 / 家庭,35,,https://movie.douban.com/subject/11632581/
